text,main_emotion,sub_emotion,situation,source
오늘은 특별한 일 없이 평소처럼 시간이 지나갔다. 특별히 기억에 남는 감정은 없었다.,중립,합성,다이어리,synthetic_project_label_train
해야 할 일을 정리하고 조용히 하루를 마무리했다. 그냥 평범한 하루였다고 느꼈다.,중립,합성,다이어리,synthetic_project_label_train
앞으로 일이 어떻게 될지 몰라 계속 걱정됐다. 해야 할 일이 많은데 어디서부터 시작해야 할지 막막했다. 차분해지려고 해도 걱정이 쉽게 줄지 않았다.,불안,합성,다이어리,synthetic_diary_train
친구와 웃다가도 앞으로 어떻게 될지 생각하니 마음이 불편해졌다.,불안,감정전환,다이어리,synthetic_transition_train
앞으로 일이 어떻게 될지 몰라 계속 걱정됐다. 실수할까 봐 계속 긴장되고 마음이 불편했다. 차분해지려고 해도 걱정이 쉽게 줄지 않았다.,불안,합성,다이어리,synthetic_diary_train
웃으면서 넘겼지만 집에 와서도 계속 생각났다. 대수롭지 않은 척했지만 그 말이 계속 마음에 남았다. 내 마음을 조금 더 지켜야겠다는 생각이 들었다.,우울,합성,다이어리,synthetic_diary_train
"오늘 있었던 일을 떠올리면 잠깐 기분이 좋았는데, 근데 혼자 집에 오니 다시 우울해졌다.",우울,감정전환,다이어리,synthetic_transition_train
"오늘 아기 생각을 하면서 오늘은 아주 특별한 일은 없었지만, 그저 그런 하루였어. 아침에 일어나서 간단히 밥 먹고, 친구랑 카페에 가서 수다 떨고 왔어. 날씨도 괜찮아서 산책하기 딱 좋더라. 이런 평범한 하루가 오히려 편안하게 느껴져. 가끔은 이런 날들이 제일 좋기도 해.",중립,"['그저 그런', '괜찮은', '편안한']",그저 그런,hf_kor_diary_emotion_train
오늘 대인관계와 관련해서 이런 생각이 들었다. 내 주변 사람들이 나를 어떻게 생각하는지 불안해. 나를 좋은 사람으로 생각하는지 나쁜 사람으로 생각하는지에 대해 궁금해서 불안해. 나는 사이가 좋다고 생각했던 사람이 나를 나쁘게 생각하고 있었거든. 괜찮을 거라고 생각하려 해도 걱정이 쉽게 사라지지 않았다.,불안,불안,대인관계,aihub_diary_style_train
"오늘 병원에 가서 검진을 받았는데, 의사 선생님이 모든 결과가 이상 없다고 하셨어! 진짜 날아갈 것 같은 기분이야. 이렇게 건강하게 지낼 수 있다는 게 얼마나 고마운지 몰라. 운동도 꾸준히 하고, 앞으로 더 건강한 습관을 만들어야겠다. 뿌듯한 하루야! 😄",행복,"['고마운', '뿌듯한', '날아갈 것 같은']",건강 회복,hf_kor_diary_emotion_train
"몸과 마음이 예민한 하루였는데 오늘 친구들이랑 외출하기로 했어! 그래서 집에서 가장 좋아하는 향수를 뿌리면서 나가는 준비를 하고 있는데, 너무 뿌듯하고 신나는 기분이 들어. 향기가 나를 감싸니까 기분까지 더 좋아지는 것 같아. 오늘 즐거운 시간 보낼 것 같아서 기대돼! 😊",행복,"['뿌듯한', '신나는']",외출 준비,hf_kor_diary_emotion_v2_train
내 노력이 인정받은 것 같아 마음이 밝아졌다. 작은 성취였지만 스스로가 자랑스러웠다. 이 기분을 오래 기억하고 싶다.,행복,합성,다이어리,synthetic_project_label_train
오늘 건강와 관련해서 이런 생각이 들었다. 침을 맞았는데도 차도가 없어서 이번에는 육 개월 동안 한약을 먹지 않겠냐고 했네. 한약을 한 달도 아니고 육 개월 동안 먹는 건 너무 오래가 아닌가? 영 지지부진하니 한의사가 아니라 양의에게 가 봐야겠어. 별일 아닌 척하려 했지만 계속 짜증이 남았다.,화남,안달하는,건강,aihub_diary_style_train
처음엔 실망스러웠지만 맛있는 걸 먹고 가족을 보니 기분이 좋아졌다.,행복,감정전환,다이어리,synthetic_transition_train
오늘 있었던 일을 떠올리면 예전엔 취미로 등산을 했는데 이젠 건강을 위해서 아침 일찍 약수터까지 등산을 해야 해. 이젠 운동도 다이어트를 위해서가 아니라 건강을 위한 게 되었어. 너무 화가 나. 어쩔 수 없으니 즐기도록 해봐야지. 내일은 남편과 함께 갈 거야. 별일 아닌 척하려 했지만 계속 짜증이 남았다.,화남,안달하는,"건강,죽음",aihub_diary_style_train
대수롭지 않은 척했지만 그 말이 계속 마음에 남았다. 내 마음은 전혀 고려되지 않은 것 같아서 상처가 됐다. 괜찮다고 말했지만 사실은 괜찮지 않았다.,우울,합성,다이어리,synthetic_diary_train
"몸과 마음이 예민한 하루였는데 오늘은 편의점에 갔는데, 그냥 필요한 것들 사려고 갔어. 별 일 없는 하루였고, 나쁘지 않은 기분으로 장을 봤지. 계산대 앞에서 찍기 좋아하는 친구가 사진을 찍더라고. 그저 그런 하루였지만, 소소한 순간들이 즐거운 것 같아.",중립,"['별 일 없는', '나쁘지 않은', '그저 그런']",편의점,hf_kor_diary_emotion_train
오늘 친구가 새로 이사하는 집에 초대받았어! 그동안 못 만났던 친구들과 오랜만에 만날 생각에 몽글몽글한 기분이 들어. 약속 시간까지 기다리는 동안 간질간질한 마음이 계속해서 커져가. 이렇게 설레는 날이 또 언제 올까? 정말 기대돼!,설렘,"['몽글몽글한', '간질간질한', '설레는']",송별/환영,hf_kor_diary_emotion_train
좋은 변화가 생길 것 같아서 하루 종일 마음이 들떴다. 처음 해보는 도전이라 긴장되지만 기대가 더 컸다. 좋은 방향으로 이어졌으면 좋겠다.,설렘,합성,다이어리,synthetic_project_label_train
내 노력이 인정받은 것 같아 마음이 밝아졌다. 오늘은 생각보다 일이 잘 풀려서 기분이 좋았다. 이런 날이 자주 있었으면 좋겠다.,행복,합성,다이어리,synthetic_project_label_train
오늘 건강와 관련해서 이런 생각이 들었다. 고혈압이 너무 심해져서 걱정이야. 나는 왜 맨날 아프기만 한 걸까? 약 먹는 것도 이제 지겹고 전혀 나아지지도 않아. 내일 아내랑 얘기 좀 해봐야겠어. 그럼 조금 나아질 수도 있겠지. 내가 왜 이런 기분을 참아야 하는지 답답했다.,화남,짜증내는,건강,aihub_diary_style_train
내 노력이 인정받은 것 같아 마음이 밝아졌다. 오늘은 생각보다 일이 잘 풀려서 기분이 좋았다. 이 기분을 오래 기억하고 싶다.,행복,합성,다이어리,synthetic_project_label_train
출산을 준비하면서 오늘은 집안을 정리하면서 버릴 것들을 정리했어. 평범한 일상 속에서 소소한 것들을 정리하는 기분이 싱숭생숭했어. 이렇게 버리면서 새로운 공간이 생기는 게 참 좋더라. 평범한 일상이지만 깔끔해진 집을 보니 뿌듯해! 😄,중립,"['싱숭생숭한', '소소한', '평범한']",정리정돈,hf_kor_diary_emotion_train
오랜만에 마음이 편안하고 차분했다. 조용히 산책하고 나니 마음이 안정됐다. 오늘은 이 평온함을 지키고 싶다.,안정,합성,다이어리,synthetic_project_label_train
"오늘 있었던 일을 떠올리면 처음에는 불안했는데, 근데 할 일을 하나씩 정리하고 나니 마음이 안정됐다.",안정,감정전환,다이어리,synthetic_transition_train
좋은 변화가 생길 것 같아서 하루 종일 마음이 들떴다. 기대되는 마음을 잘 간직하고 싶다.,설렘,합성,다이어리,synthetic_project_label_train
잠을 자도 피곤이 풀리지 않아 무기력했다. 계속되는 일 때문에 지치고 에너지가 바닥난 느낌이었다. 오늘은 무리하지 않고 쉬어야겠다.,피로,합성,다이어리,synthetic_project_label_train
오늘은 친구가 내 회사를 알게 될까 봐 명함을 숨겼어. 그 친구에게 안 좋은 기억이 있어. 오늘도 봐서 기분이 안 좋아. 한번 그 친구와 대화를 해봐야 될 것 같아. 예상하지 못한 일이라 하루 종일 마음이 어수선했다.,불안,남의 시선을 의식하는,대인관계,aihub_diary_style_train
해야 할 일은 많은데 몸과 마음이 따라주지 않았다. 계속되는 일 때문에 지치고 에너지가 바닥난 느낌이었다. 잠깐 멈추고 회복할 시간이 필요하다.,피로,합성,다이어리,synthetic_project_label_train
해야 할 일을 정리하고 조용히 하루를 마무리했다. 일정을 확인하고 필요한 일만 처리했다. 그냥 평범한 하루였다고 느꼈다.,중립,합성,다이어리,synthetic_project_label_train
기대하지 않았던 칭찬을 받아서 하루 종일 기분이 좋았다. 오늘의 기분을 오래 기억하고 싶다.,설렘,합성,다이어리,synthetic_diary_train
오늘 학업 및 진로와 관련해서 이런 생각이 들었다. 우리 엄마는 내가 좋은 대학에 들어가지 못할까 봐 걱정하고 계시는 것 같아. 이런 엄마의 모습에 나도 걱정이 많아져. 우선 내가 약한 과목을 더 열심히 공부해야 되겠어. 앞으로 어떻게 될지 몰라 마음이 계속 불안했다.,불안,걱정스러운,학업 및 진로,aihub_diary_style_train
오늘 있었던 일을 떠올리면 회사에서 승진이 안돼서 이제 그만 퇴사하기로 했어. 실망도 하고 지쳐. 일하는 것도 그렇고 실망만 늘어가. 마음 한쪽이 무겁고 쉽게 털어지지 않았다.,우울,실망한,"재정,은퇴,노후준비",aihub_diary_style_train
하루를 정리해보면 남편에게 매일 아침마다 영양제를 챙겨줘도 남편은 귀찮아해. 내가 남편 건강을 위해 나도 귀찮은데 매일 챙겨주는 건데. 괘씸해져. 당신을 위해 나도 귀찮음을 참고 챙겨주는 건데 왜 이렇게 귀찮아하는 거냐고 물어볼래. 별일 아닌 척하려 했지만 계속 짜증이 남았다.,화남,툴툴대는,"건강,죽음",aihub_diary_style_train
해야 할 일을 정리하고 나니 숨이 조금 놓였다. 오늘은 이 평온함을 지키고 싶다.,안정,합성,다이어리,synthetic_project_label_train
좋은 변화가 생길 것 같아서 하루 종일 마음이 들떴다. 기대되는 마음을 잘 간직하고 싶다.,설렘,합성,다이어리,synthetic_project_label_train
오늘은 환갑이 넘었는데 로또에 당첨되었어. 치료도 받고 맛있는 것도 먹고 즐길 생각하니 신이 나. 작은 일인데도 마음이 많이 가벼워졌다.,안정,신이 난,재정,aihub_diary_style_train
하루를 정리해보면 시부모님이 자꾸 나한테 잔소리만 해. 전부터 날 못마땅하게 여겼어. 용돈 하루 늦게 보냈다고 돈 꿔준 사람처럼 노발대발 해. 통장에서 자동으로 이체가 되게 하는 방법도 괜찮을 거야. 내가 왜 이런 기분을 참아야 하는지 답답했다.,화남,화남,"연애,결혼,출산",aihub_diary_style_train
내가 너무 부족하고 한심하게 느껴져서 속상했다. 오늘은 그냥 버티는 것만으로도 힘들었다.,우울,합성,다이어리,synthetic_diary_train
조용히 산책하고 나니 마음이 안정됐다. 차분하게 마무리할 수 있어서 다행이다.,안정,합성,다이어리,synthetic_project_label_train
오늘은 생각보다 일이 잘 풀려서 기분이 좋았다. 좋은 소식을 듣고 하루 종일 웃음이 났다. 이런 날이 자주 있었으면 좋겠다.,행복,합성,다이어리,synthetic_project_label_train
새로운 일을 앞두고 기대감 때문에 마음이 두근거렸다. 좋은 변화가 생길 것 같아서 하루 종일 마음이 들떴다. 기대되는 마음을 잘 간직하고 싶다.,설렘,합성,다이어리,synthetic_project_label_train
오늘 있었던 일을 떠올리면 처음엔 설렜지만 일정이 너무 많아서 결국 에너지가 바닥났다.,피로,감정전환,다이어리,synthetic_transition_train
"하루를 정리해보면 병원에 다녀왔는데 이젠 아기가 잘 크고 있으니 너무 큰 걱정은 하지 않아도 된대. 임신 초기에는 아기도 나도 모두 불안정한 상태였어. 병원도 자주 다녀야 했고 일상생활도 모든 것이 조심스러웠어. 오늘 병원에서 괜찮다는 말 한마디에 안도감이 들더라. 마음의 짐을 내려놓은 기분이야. 덕분에 하루가 밝게 느껴졌고, 이 기분을 오래 기억하고 싶다.",안정,안도,"연애,결혼,출산",aihub_diary_style_train
오늘 있었던 일을 떠올리면 친구들과 얘기를 하니 내 월급이 너무 낮아 비관적이고 걱정돼. 소비 습관도 너무 달라져서 점점 생활 격차가 커지고 있어. 아무래도 회사 이직을 위해서 자기 계발을 하면서 알아봐야겠어. 그 말과 상황이 계속 떠올라 마음이 쓰렸다.,우울,우울,대인관계,aihub_diary_style_train
오늘은 오늘 아빠가 놀아주기로 했는데 아직 오지 않으셔서 속이 타. 분명 약속했는데 지키지 않는 아빠에게 화가 나. 분명 약속을 지키지 못했던 이유가 있었을 거야. 아빠가 오시면 대화를 해 봐야겠어. 생각할수록 화가 올라와서 마음이 쉽게 가라앉지 않았다.,화남,안달하는,가족관계,aihub_diary_style_train
별문제 없을 거라고 생각하려 해도 마음이 초조했다. 차분해지려고 해도 걱정이 쉽게 줄지 않았다.,불안,합성,다이어리,synthetic_diary_train
내 마음은 전혀 고려되지 않은 것 같아서 상처가 됐다. 대수롭지 않은 척했지만 그 말이 계속 마음에 남았다. 괜찮다고 말했지만 사실은 괜찮지 않았다.,우울,합성,다이어리,synthetic_diary_train
하루를 정리하면 좋은 소식도 있었는데 이상하게 외로운 기분이 더 크게 남았다.,우울,감정전환,다이어리,synthetic_transition_train
오랜만에 마음이 편안하고 차분했다. 해야 할 일을 정리하고 나니 숨이 조금 놓였다. 오늘은 이 평온함을 지키고 싶다.,안정,합성,다이어리,synthetic_project_label_train
잠을 자도 피곤이 풀리지 않아 무기력했다. 해야 할 일은 많은데 몸과 마음이 따라주지 않았다. 잠깐 멈추고 회복할 시간이 필요하다.,피로,합성,다이어리,synthetic_project_label_train
오늘은 중학교 때 진로를 미술로 빨리 선택한 덕분에 대입 준비가 한결 수월해져서 다행이야. 그래. 그 때 선택을 지금도 후회하지 않아. 오늘을 떠올리면 웃음이 먼저 난다.,안정,안도,학업 및 진로,aihub_diary_style_train
"하루를 정리하면 아침에는 괜히 마음이 가라앉았는데, 그래도 친구랑 웃으면서 이야기하니 행복했다.",행복,감정전환,다이어리,synthetic_transition_train
"출산을 준비하면서 주말 오후, 그냥 집에서 눕고 있어. 별 일 없는 하루인데, 나쁘지 않은 것 같아. 이렇게 아무 생각 없이 쉴 수 있는 시간이 가끔 필요해. 그래도 뭔가 피곤한 느낌은 드는 걸 보니, 주중에 많이 지쳤나봐. 뭐, 이런 평범한 일상이 좋긴 해. 😊",중립,"['별 일 없는', '나쁘지 않은', '피곤한']",주말 오후,hf_kor_diary_emotion_train
일정을 확인하고 필요한 일만 처리했다. 특별히 기억에 남는 감정은 없었다.,중립,합성,다이어리,synthetic_project_label_train
오늘 재정와 관련해서 이런 생각이 들었다. 고교 동창이 속이 상한 모양이야. 또 부부싸움을 한 모양이야. 퇴직하고 집에 있는 남편이 이제 자신이 쓸모없는 사람이라는 말을 자주 하나 봐. 생활이 무료하지 않게 취미를 가지라고 해도 듣지 않는다고 해. 내가 왜 이런 기분을 참아야 하는지 답답했다.,화남,방어적인,재정,aihub_diary_style_train
오늘 있었던 일을 떠올리면 내 친구들이 나만 빼고 여행을 갔어. 나 너무 화가 나. 어떻게 나한테 말도 없이 자기들끼리만 놀러 갈 수가 있지? 물어봤더니 나를 까먹었대. 그게 말이 돼? 별일 아닌 척하려 했지만 계속 짜증이 남았다.,화남,노여워하는,대인관계,aihub_diary_style_train
"오늘 회사에서 정말 화나는 일이 있었어. 팀원 중 한 명이 나한테 예외를 요구했는데, 그게 도대체 이해할 수 없는 상황이었어. 나도 힘들게 일하는데, 왜 나한테만 특혜를 주려는 건지 모르겠어. 이렇게 모순된 상황이 반복되니 점점 더 짜증나.",화남,"['이해할 수 없는', '화나는']",모순된 상황,hf_kor_diary_emotion_v2_train
해야 할 일은 많은데 몸과 마음이 따라주지 않았다. 하루 종일 몸이 무겁고 아무것도 하고 싶지 않았다. 오늘은 무리하지 않고 쉬어야겠다.,피로,합성,다이어리,synthetic_project_label_train
"오늘 진로, 취업, 직장와 관련해서 이런 생각이 들었다. 회사에서 드디어 내 연봉을 인상해줬어. 이제야 회사 생활이 풀리는 것 같아. 항상 성실하게 지각 한번 없이 일했어. 마감 기한을 어긴 적도 없어. 열심히 살면 언젠가는 보상을 받는 것 같아. 오늘을 떠올리면 웃음이 먼저 난다.",설렘,만족스러운,"진로,취업,직장",aihub_diary_style_train
큰 감정 변화 없이 무난한 하루를 보냈다. 특별히 기억에 남는 감정은 없었다.,중립,합성,다이어리,synthetic_project_label_train
오늘 있었던 일을 떠올리면 과일 장수가 초라한 옷차림의 나를 가엾게 쳐다보는 듯했어. 나를 가엾게 보는 과일장수에게 복수할 방법이 없을까? 과일장수에게 동정을 받다니 당황스러웠어. 괜히 신경 쓰이고 민망한 기분이 남았다.,불안,열등감,대인관계,aihub_diary_style_train
괜찮은 척했지만 마음이 계속 가라앉았다. 내가 너무 부족하고 한심하게 느껴져서 속상했다. 오늘은 그냥 버티는 것만으로도 힘들었다.,우울,합성,다이어리,synthetic_diary_train
좋은 변화가 생길 것 같아서 하루 종일 마음이 들떴다. 좋은 방향으로 이어졌으면 좋겠다.,설렘,합성,다이어리,synthetic_project_label_train
오늘 대인관계와 관련해서 이런 생각이 들었다. 나 오래 만난 친구가 돈을 빌려 갔는데 갚지를 않아. 이야기했지만 이제는 전화도 받지 않아. 오랜 친구인데 사람을 믿기 힘든 것 같아. 괜찮은 척했지만 계속 가라앉는 느낌이었다.,우울,환멸을 느끼는,대인관계,aihub_diary_style_train
"오늘 아기 생각을 하면서 오늘 드디어 오랜만에 그 사람과 핫플에 데이트 가기로 했어! 💖 마음이 너무 설레고 신나는 기분이야. 예쁜 카페에서 맛있는 것도 먹고, 사진도 많이 찍으려고 해. 간절히 기다려온 시간이라 그런지 더 특별하게 느껴져서 너무 기대돼! 😊",설렘,"['설레는', '신나는', '간절한 마음의']",데이트,hf_kor_diary_emotion_v2_train
큰 문제 없이 하루가 지나가서 안도감이 들었다. 조용히 산책하고 나니 마음이 안정됐다. 오늘은 이 평온함을 지키고 싶다.,안정,합성,다이어리,synthetic_project_label_train
처음 해보는 도전이라 긴장되지만 기대가 더 컸다. 내일 만날 생각을 하니 괜히 설레고 기분이 들떴다. 좋은 방향으로 이어졌으면 좋겠다.,설렘,합성,다이어리,synthetic_project_label_train
오늘 있었던 일을 떠올리면 기분이 조금 오락가락했지만 결국 큰 감정 변화 없이 지나갔다.,중립,감정전환,다이어리,synthetic_transition_train
오늘은 나이가 드니 업무 능력이 안 좋아졌어. 몇 번을 검수해도 틀린 게 나와서 많이 우울해. 이런 일을 겪을 때마다 이제는 회사를 그만 둘 때가 된 것 같아서 자괴감이 들어. 글쎄. 이번 주말에 낚시나 하며 마음의 여유를 가지고 싶어. 오늘은 유난히 혼자라는 생각이 많이 들었다.,우울,우울한,"직장, 업무 스트레스",aihub_diary_style_train
아직 일어나지 않은 일까지 떠올라 잠이 잘 오지 않았다. 해야 할 일이 많은데 어디서부터 시작해야 할지 막막했다. 차분해지려고 해도 걱정이 쉽게 줄지 않았다.,불안,합성,다이어리,synthetic_diary_train
"출산을 준비하면서 오늘은 마트에 가서 장을 봤어. 특별한 일도 없고 그냥 평범한 하루였지만, 필요한 것들을 골라 담는 시간이 은근히 좋더라. 장바구니에 과일이랑 채소를 소소하게 채워가면서 편안한 기분이 들었어. 이렇게 소소한 일상이 나한테는 제일 중요한 것 같아.",중립,"['그저 그런', '소소한', '편안한']",마트/장보기,hf_kor_diary_emotion_train
오늘은 특별한 일 없이 평소처럼 시간이 지나갔다. 해야 할 일을 정리하고 조용히 하루를 마무리했다. 특별히 기억에 남는 감정은 없었다.,중립,합성,다이어리,synthetic_project_label_train
하루 초반에는 우울했는데 결국 좋은 소식을 듣고 행복한 마음으로 끝났다.,행복,감정전환,다이어리,synthetic_transition_train
내가 너무 부족하고 한심하게 느껴져서 속상했다. 별일 아닌데도 눈물이 날 것처럼 마음이 무거웠다. 내일은 조금이라도 나아졌으면 좋겠다.,우울,합성,다이어리,synthetic_diary_train
오늘 있었던 일을 떠올리면 기분 좋게 시작했지만 상대가 무례하게 말해서 짜증이 올라왔다.,화남,감정전환,다이어리,synthetic_transition_train
하루를 정리해보면 명문대 나온 직원 보고서를 보면 별로 특별하지도 않은데 다른 임원들이 명문대라고 특별대우를 해. 일을 잘하면 인정하지만 그렇지 않으니까 이해가 안 돼. 다들 고정관념이 심해. 그 직원의 능력이 어느 정도인지 보여주는 게 좋다고 생각해. 한번 생각해봐야겠어. 예상하지 못한 일이라 하루 종일 마음이 어수선했다.,불안,열등감,"직장, 업무 스트레스",aihub_diary_style_train
하루를 정리하면 계속 마음이 흔들렸는데 결국 조용히 정리하면서 평온해졌다.,안정,감정전환,다이어리,synthetic_transition_train
"오늘 하루는 평범했어. 저녁을 먹고 나서 침대에 누워 어둠 속에서 책을 읽었는데, 그저 그런 이야기에 만족스러웠어. 조용한 분위기에서 싱숭생숭한 기분도 느끼고, 이렇게 하루를 마무리하는 게 좋다는 생각이 들더라. 이제 잠 잘 준비를 해야겠어.",중립,"['그저 그런', '만족스러운', '싱숭생숭한']",취침 준비,hf_kor_diary_emotion_train
오늘은 늙어서 그런지 요즘 깜빡하는 일이 잦아졌어. 슬프네. 어제 중요한 일이 있었는데 깜빡하고 그냥 지나가 버렸어. 중요한 일은 항상 볼 수 있는 곳에 메모를 해 두는 습관을 길러야겠어. 마음 한쪽이 무겁고 쉽게 털어지지 않았다.,우울,우울,"건강,죽음",aihub_diary_style_train
"하루를 정리하면 처음엔 참을 만했는데, 근데 같은 말을 또 들으니 결국 화가 났다.",화남,감정전환,다이어리,synthetic_transition_train
해야 할 일을 정리하고 나니 숨이 조금 놓였다. 조용히 산책하고 나니 마음이 안정됐다. 오늘은 이 평온함을 지키고 싶다.,안정,합성,다이어리,synthetic_project_label_train
하루를 정리하면 예상 밖 일이 있어서 당황했지만 천천히 해결하고 나니 안도감이 들었다.,안정,감정전환,다이어리,synthetic_transition_train
좋은 변화가 생길 것 같아서 하루 종일 마음이 들떴다. 좋은 방향으로 이어졌으면 좋겠다.,설렘,합성,다이어리,synthetic_project_label_train
몸과 마음이 예민한 하루였는데 오늘 친구가 나에게 생일 선물을 줬어! 🎁 너무 기쁘고 홀가분한 기분이야. 신나는 마음으로 포장을 열었더니 내가 정말 갖고 싶었던 물건이 들어있어서 날아갈 것 같아. 이렇게 특별한 순간이 계속되면 좋겠다! 😊,행복,"['홀가분한', '신나는', '날아갈 것 같은']",쇼핑,hf_kor_diary_emotion_train
좋은 소식을 듣고 하루 종일 웃음이 났다. 이런 날이 자주 있었으면 좋겠다.,행복,합성,다이어리,synthetic_project_label_train
웃으면서 넘겼지만 집에 와서도 계속 생각났다. 믿었던 사람이 나를 가볍게 대하는 것 같아 서운했다. 내 마음을 조금 더 지켜야겠다는 생각이 들었다.,우울,합성,다이어리,synthetic_diary_train
임신하고 나서 오늘 정말 기쁜 날이야! 드디어 연봉 인상 소식을 들었거든. 이렇게 열심히 일한 보람이 있는 것 같아서 너무 고마운 마음이 들어. 팀원들도 축하해줘서 감동받았어. 앞으로 더 열심히 일해야겠다는 생각이 들어! 😊,행복,"['고마운', '기쁜', '감동받은']",직업 성취,hf_kor_diary_emotion_v2_train
